Day in period,Date,Dedicated interface Uptime (%), Dedicated interface Downtime (%),Payment services user interface Response (millisecs),Dedicated interface AISP response (millisecs),Dedicated interface PISP response (millisecs),Dedicated interface CBPII/PISP Yes/No response (millisecs),Dedicated interface Error response rate (%)
1,01 Apr 2026,100.00,0.00,592,0,0,0,0.00
2,02 Apr 2026,100.00,0.00,1063,0,0,0,0.00
3,03 Apr 2026,100.00,0.00,587,0,0,0,0.00
4,04 Apr 2026,100.00,0.00,334,0,0,0,0.00
5,05 Apr 2026,100.00,0.00,487,0,0,0,0.00
6,06 Apr 2026,100.00,0.00,762,0,0,0,0.00
7,07 Apr 2026,100.00,0.00,566,0,0,0,0.00
8,08 Apr 2026,100.00,0.00,576,0,0,0,0.00
9,09 Apr 2026,100.00,0.00,571,0,0,0,0.00
10,10 Apr 2026,100.00,0.00,624,0,0,0,0.00
11,11 Apr 2026,100.00,0.00,460,0,0,0,0.00
12,12 Apr 2026,100.00,0.00,438,0,0,0,0.00
13,13 Apr 2026,100.00,0.00,603,0,0,0,0.00
14,14 Apr 2026,100.00,0.00,554,0,0,0,0.00
15,15 Apr 2026,100.00,0.00,581,0,0,0,0.00
16,16 Apr 2026,100.00,0.00,559,0,0,0,0.00
17,17 Apr 2026,100.00,0.00,573,0,0,0,0.00
18,18 Apr 2026,100.00,0.00,440,0,0,0,0.00
19,19 Apr 2026,100.00,0.00,445,0,0,0,0.00
20,20 Apr 2026,100.00,0.00,605,0,0,0,0.00
21,21 Apr 2026,100.00,0.00,578,0,0,0,0.00
22,22 Apr 2026,100.00,0.00,590,0,0,0,0.00
23,23 Apr 2026,100.00,0.00,604,0,0,0,0.00
24,24 Apr 2026,100.00,0.00,626,0,0,0,0.00
25,25 Apr 2026,100.00,0.00,403,0,0,0,0.00
26,26 Apr 2026,100.00,0.00,451,0,0,0,0.00
27,27 Apr 2026,100.00,0.00,614,0,0,0,0.00
28,28 Apr 2026,100.00,0.00,627,0,0,0,0.00
29,29 Apr 2026,100.00,0.00,608,0,0,0,0.00
30,30 Apr 2026,100.00,0.00,635,0,0,0,0.00
31,01 May 2026,100.00,0.00,542,0,0,0,0.00
32,02 May 2026,100.00,0.00,377,0,0,0,0.00
33,03 May 2026,100.00,0.00,390,0,0,0,0.00
34,04 May 2026,100.00,0.00,679,0,0,0,0.00
35,05 May 2026,100.00,0.00,580,0,0,0,0.00
36,06 May 2026,100.00,0.00,593,0,0,0,0.00
37,07 May 2026,100.00,0.00,439,0,0,0,0.00
38,08 May 2026,100.00,0.00,604,0,0,0,0.00
39,09 May 2026,100.00,0.00,359,0,0,0,0.00
40,10 May 2026,100.00,0.00,329,0,0,0,0.00
41,11 May 2026,100.00,0.00,508,0,0,0,0.00
42,12 May 2026,100.00,0.00,480,0,0,0,0.00
43,13 May 2026,100.00,0.00,426,0,0,0,0.00
44,14 May 2026,100.00,0.00,472,0,0,0,0.00
45,15 May 2026,100.00,0.00,488,0,0,0,0.00
46,16 May 2026,100.00,0.00,489,0,0,0,0.00
47,17 May 2026,100.00,0.00,400,0,0,0,0.00
48,18 May 2026,100.00,0.00,479,0,0,0,0.00
49,19 May 2026,100.00,0.00,473,0,0,0,0.00
50,20 May 2026,100.00,0.00,472,0,0,0,0.00
51,21 May 2026,100.00,0.00,428,0,0,0,0.00
52,22 May 2026,100.00,0.00,431,0,0,0,0.00
53,23 May 2026,100.00,0.00,387,0,0,0,0.00
54,24 May 2026,100.00,0.00,421,0,0,0,0.00
55,25 May 2026,100.00,0.00,433,0,0,0,0.00
56,26 May 2026,100.00,0.00,439,0,0,0,0.00
57,27 May 2026,100.00,0.00,458,0,0,0,0.00
58,28 May 2026,100.00,0.00,489,0,0,0,0.00
59,29 May 2026,100.00,0.00,510,0,0,0,0.00
60,30 May 2026,100.00,0.00,418,0,0,0,0.00
61,31 May 2026,100.00,0.00,425,0,0,0,0.00
62,01 Jun 2026,100.00,0.00,486,0,0,0,0.00
63,02 Jun 2026,100.00,0.00,499,0,0,0,0.00
64,03 Jun 2026,100.00,0.00,530,0,0,0,0.00
65,04 Jun 2026,100.00,0.00,512,0,0,0,0.00
66,05 Jun 2026,100.00,0.00,539,0,0,0,0.00
67,06 Jun 2026,100.00,0.00,518,0,0,0,0.00
68,07 Jun 2026,100.00,0.00,487,0,0,0,0.00
69,08 Jun 2026,100.00,0.00,514,0,0,0,0.00
70,09 Jun 2026,100.00,0.00,496,0,0,0,0.00
71,10 Jun 2026,100.00,0.00,496,0,0,0,0.00
72,11 Jun 2026,100.00,0.00,521,0,0,0,0.00
73,12 Jun 2026,100.00,0.00,500,0,0,0,0.00
74,13 Jun 2026,100.00,0.00,490,0,0,0,0.00
75,14 Jun 2026,100.00,0.00,520,0,0,0,0.00
76,15 Jun 2026,100.00,0.00,496,0,0,0,0.00
77,16 Jun 2026,100.00,0.00,516,0,0,0,0.00
78,17 Jun 2026,100.00,0.00,510,0,0,0,0.00
79,18 Jun 2026,100.00,0.00,496,0,0,0,0.00
80,19 Jun 2026,100.00,0.00,495,0,0,0,0.00
81,20 Jun 2026,100.00,0.00,458,0,0,0,0.00
82,21 Jun 2026,100.00,0.00,430,0,0,0,0.00
83,22 Jun 2026,100.00,0.00,507,0,0,0,0.00
84,23 Jun 2026,100.00,0.00,501,0,0,0,0.00
85,24 Jun 2026,100.00,0.00,489,0,0,0,0.00
